source,target
Training Rubik 's cube to Learning English .,"First , I train with the Rubik 's cube then I learn English"
Browse at convenience store,Looking aroundat the convenience store
The time is limited .,Time is limited .
frist dairy !,first diary !
Meals in hot days,Meals on hot days
nice to meet u,Nice to Meet You
Full blooming,In Full Bloom
hello from Nandy,Hello from Nandy
I wonder what the most important thing with my life .,I wonder what the most important thing is in my life .
Washing car,Washing a car
I had enjoyed the summer vacation,I enjoyed the summer vacation .
firt time,First time
"It 's the first day ,","It 's the first day ,"
I will Try to TOEIC !,I will try to take the TOEIC !
I love a drink .,I love to make soft drink by myself .
too much eat cake !,I ate too much cake !
I wanto fulfill my carrender,I want to fill my calendar
what should I say ?,What should I say ?
A thing I thought suddenly .,uddenly . A wonderful memory that I recalled suddenly
I went to public library,I went to the public library
"Peniciline , Innovation of the century .","Penicillin , Innovation of the Century ."
Coming new season,new season
I feel not so good,I do not feel so good
"The Goya plant has rough skn but when I touched it , it is greasy . Just fun .","The Goya plant has rough skin but when I touched it , it felt greasy . Just fun ."
Travelling with other people,Traveling with other people
I will practice the violine .,I will practice the violin .
my first day with lang - 8,My first day at lang - 8
I tried triathlon ! !,I tried a triathlon ! !
Snow was melted .,The snow has melted .
please check this sentence for sure . I need you hands from all over the world . help me,Please check this sentence for accuracy . I need a hand from people all over the world . Please help me .
A little confusion - - - can someone give some advice to me,Some confusion - - - Can someone give advice to me ?
What a snowing ! !,What a snow ! !
To dear . .,To dear . . .
Our baby Riku cries all time,Our baby Riku cries all the time
THese days I 'm studying English .,These days I 'm studying English .
go abrod . .,Going abroad . .
BIGBANG ! !,BIGBANG ! !
relaxed Sunday,Relaxed Sunday
Overwork ! But Today is Friday ! !,Overworked ! But Today is Friday ! !
Continuance Tnabata story .,Continuance of the Tanabata story .
Nissan put some equipment to electric cars,Nissan will install some equipment on electric cars
please correct my sentence,Please correct my sentences
CHEER LEADING in this summer,CHEER LEADING this summer
Have you ever dream of being a hacker,Have you ever dreamed of being a hacker
The Tower of the Sun,The Tower of the Sun
"Hi , I 'm to be here for the first time . So excited .","Hi , I 'm here for the first time . I 'm so excited ."
Today is festival,Today is the Festival .
I GOT a GOOD news ! ! !,I GOT SOME GOOD news ! ! !
It 's hard to say in English,It 's hard to talk in English
afraid of my furture,Afraid of my Future
What I have done since I moved in Tokyo,What I have done since I moved to Tokyo :
I want to make friends with you,I want to make friends with you
the first diary,My first journal
In the bank ~,At the bank ~
Going to park !,Going to the park !
my voice hoarse,My voice is hoarse .
Kindle & I - Pad,Kindle & iPad
Tomorrow is KARATE CLASS,Tomorrow is my Karate class
Mini basketball club : ),A Mini basketball club : )
The rainy season was over .,The rainy season is over .
Hello please correct my English,"Hello , please correct my English"
I am a fresh,I am new here
Can I finish to read the book with in 6 weeks ?,Can I finish reading a book within 6 weeks ?
The Pictures of the Cavemen,Pictures of Cavemen
Hello .,Hello !
Keeping a diary 2 months,Keeping a diary for 2 months
Two month .,Two Months
Taking Eiken examination,Taking the Eiken examination
friday night,Friday night
My first diary by English,My first diary in English
How could the area where I live become more environmentally friendly ?,How could the area where I live become more environment friendly ?
I got the wrong number from US,I got a wrong number from the US
I 'm getting excitied !,I 'm getting excited !
Self - introuction in English,Self - introduction in English
I love taste of sushi,I love the taste of sushi
"Spending too much power searching internet , word processing , and watching movie ?","Are you spending too much power searching the internet , doing word processing and watching movies ?"
today is my first time to write a massage,Today is my first time to write a message .
Thank you so moch to many people in many countries !,Thank you so much to many people in many countries !
anyone can cooperate to develop an iPhone app for Lang - 8 ?,Can people cooperate to develop an iPhone app for Lang - 8 ?
I 've started wrighting blog,I 've started writing a blog
I am afraid,I am afraid .
Oh ! ! I slept over today .,Oh ! ! I overslept today .
I 'm biginner !,I 'm A Beginner !
Good time after nervous test,Good Time after a Nervous Test
becasue of I am lazy girl .,because I am a lazy girl .
Please correct my mother ` s dialy,Please correct my mother ` s diary
Some feeling about English .,Some feelings about English .
I 'm listening `` Need You Now `` .,I 'm listening to `` Need You Now `` .
Lesson 297 . Let 's talking about a historical place in English .,Lesson 297 . Let 's talk about a historical place in English .
Riding horse for the first time,Riding a horse for the first time
Submitting an application is delayed .,Submitting the application is delayed .
English is a hard,English is hard
My colleage get transferred,My colleague is being transferred
I hate listening of chewing !,I hate listening to the sound of chewing !
Leaving the hospital,Leaving the Hospital
farst diary,First diary .
I bought iPhone !,I bought an iPhone !
I found interesting site that is lang - 8,"I found this interesting site , lang - 8"
Which is your favourite colour ?,What is your favourite colour ?
"I taked a walking with my dog , kuu .","I went for a walk with my dog , kuu ."
Which one is true ?,Which one is correct ?
Health drink ! !,Energy drink ! !
Studying bookkeeping,Studying book keeping
It 's the best to ask Japanese people .,It 's best to ask Japanese people .
I went to Beijing World Park and take lots of photos,I went to the Beijing World Park and took lots of pictures there .
I am in the desperate place . Please tell me how to memorize words .,I am in a desperate place .
I did n't write my dialy recently .,I did n't write in my diary recently .
Girls In Tourist Area,Girls In Tourist Areas
HAHA,HAHA
Nagaoka firework festivals ! ! !,Nagaoka 's firework festivals ! ! !
with shut eye or spring is coming,"with shut eyes , or , spring is coming"
I send e - mail today,I send an e - mail today
A Fluctuating Weather,The Fluctuating Weather
During Party . . .,During the Party . . .
9 days prepare merchandise ?,9 days to prepare merchandise ?
It snows !,Can also be : It 's snowing !
Thinking About English Leaning,Thinking About Learning English !
About Ninja,About Ninja ' s
I have been having a cold for two weeks .,I have had a cold for two weeks .
A huge earthquake,That was a huge earthquake !
Just wake up !,Just woke up !
What 's the difference between this two sentences ?,What 's the difference between these two sentences ?
IS Kazuhiro Kokubo halfpipe player too careless about appearance ?,Is halfpipe athlete Kazuhiro Kokubo too careless about ( his ) appearance ?
I 'm thinking about trip for the end of this month .,I 'm thinking about taking a trip at the end of this month .
Fat around my Waist,Fat Around My Waist
I do n't smoke,I Do n't Smoke
You are a good shine now .,"You are good and shiny now ,"
Practice,Practice
Now is the time when Japanese people strengthen their body functions ! ?,Now is the time for Japanese people to strengthen their body functions ?
Today 's weather is rain,Today 's weather is rainy .
Way to Happiness,The Way to Happiness
I missed the radio lesson .,I Missed the Radio Lesson
My English Teacher Told Me That . . .,My English Teacher Told Me . . .
It 's my first diary : ),This is My First Diary : )
Athretic meet of kindergarten .,Athletics meeting in my daughter 's kindergarten .
A Freshman of Santa Clause,A Freshman Santa Clause
"Finally , I had done my exam","Finally , I finished my exam"
Today is special day for me,Today is a special day for me
Embarrassing ! ! One of my shoes broken ! !,Embarrassing ! ! One of my shoes was broken !
Why people learn Polish ?,Why do people learn Polish ?
diart ( 20 . Mar . 2011 ),Diary ( 20 . Mar . 2011 )
Bear 's roar in 10 minutes 8 / 23 / 2011,Bears roar in 10 minutes 8 / 23 / 2011
Today is busy day,Today is a busy day
Sunny day # 22,Sunny day # 22 test
Hot weather ! !,Hot Weather ! !
I have a trouble about English listening,I have trouble listening to English
TAKE THAT / PROGRESS,Take That / Progress
Today I sleped long long time .,Today I slept for a long long time .
My favorit thin .,My favorit thing .
First dairy,First diary
End of one year .,End of the year .
Wedding ceremony,Wedding Ceremony
Thanks,Thanks
I started to learn about Wordpress !,I started to learn how to use Wordpress !
Feel like to drinking ! ! !,Feel like drinking ! ! !
`` A Guy . `` in british English,`` A Guy . `` in British English
Nowadays my way to learing .,My way of learning nowadays .
Tsunami has come to Japan .,A tsunami has come to Japan .
This is my first writing in Lang - 8,This is my first time writing on Lang - 8
"I 'm exciting , ant ' you ?","I 'm excited , are n't you ?"
"`` Cyrano agency `` : Ask them , if you want to start of a perfect lovely relationship .",The `` Cyrano agency `` - Ask them if you want to start a perfect lovely relationship .
