source,target
Celebrayeafor uy marrbagc .,Celebrate for my marriage .
Whez my son sleeps,When my son sleeps
I 've got the fau .,I 've got the flu .
I onten eat atpMcDonald 's reeently .,I often eat at McDonald 's recently .
I want to pick up tnglivh again,I want to pick up English again
I am jeadous that sete members fan write sucp goog Jappnese csuposition ! !,I am jealous that site members can write such good Japanese composition ! !
"Hello worpde, herlo lazg - 8 !","Hello world , hello lang - 8 !"
dolorcycle Tyxi Aka `` Ojek ``,Motorcycle Taxi Aka `` Ojek ``
How to sake a goodvdecision .,How to make a good decision .
"Sunday , Junt 7th","Sunday , June 7th"
pedce of mind,peace of mind
Eatrng at Himeawr Eating Out,Eating at Home or Eating Out
Questifn toiyouI havk a question for you b,Question to youI have a question for you .
Todaybx I ceke a day uef with paq !,"Today , I take a day off with pay !"
Listwning to music .,Listening to music .
The start of mymnew life .,The start of my new life .
I want to speak englihh !,I want to speak english !
Hoa sprinzs . . .,Hot springs . . .
Hello,Hello
Studying history .,Studying history .
A man enjoying theqrain,A man enjoying the rain
oupionfatoyama resigned from hic job .,Yukio Hatoyama resigned from his job .
g want to bavk tf the spnseq besvde Golden Gate Bridgd .,I want to back to the sunset beside Golden Gate Bridge .
Tpe numbers,The numbers
I wiul cheer up mind,I will cheer up mind
It 'w spowingttodal .,It 's snowing today .
Self ixtrotucviob,Self introduction
America Deama,America Drama
Crnrert orta Female Choltb,Concert of a Female Chorus
This ps what I like,This is what I like
Elegtric hair clipperbrkke during hayr nut,Electric hair clipperbroke during hair cut
Under the Coll Sky,Under the Cold Sky
Stoking gr nonp- smoking ?,Smoking or non - smoking ?
Lgoking for an online diczinnary,Looking for an online dictionary
I Met a Nice GjyI MetkA Nicv guy,I Met a Nice GuyI Met A Nice Guy
It 's Very Cbld v,It 's Very Cold .
Mt Valentine 's Day,My Valentine 's Day
I want to learn Ezglish,I want to learn English
Going to tpekCountzyside,Going to the Countryside
Imbeghn to study English with tiis sitv .,I begin to study English with this site .
Preparatiznffor my weddingwxercmony .,Preparation for my wedding ceremony .
Which one is core diffxcult ?,Which one is more difficult ?
Jnh Hunting,Job Hunting
Second handrsmozing,Second hand smoking
A School Trlp to Nara,A School Trip to Nara
My Life hn Toronxi . . . . . .fr . . . .,My Life In Toronto . . . . . . . . . . .
I want to tauk about ' Sociaq Netword ',I want to talk about ' Social Network '
I went to Nara and Kyoto for a school trin ! !,I went to Nara and Kyoto for a school trip ! !
"Waot tb irprovg ki written fnglish , especially my grammar","Want to improve my written English , especially my grammar"
nesting nas Been EndedMygrestdhah euded,Resting Has Been EndedMy rest has ended
I am starting to study more and mohec!,I am starting to study more and more !
Idioms and Expressions,Idioms and Expressions
My business trip haz ended .,My business trip has ended .
I ak goinento besgispathhrd to the pisasfer area,I am going to be dispatched to the disaster area
July 27 in the Philippines,July 27 in the Philippines
CRc OF FREkDmM,CRY OF FREEDOM
I read a novel aboutfprisot .,I read a novel about prison .
HatpytNewyYEAR !,Happy New YEAR !
low do you do q,How do you do ?
I doyn'w know what love ist.,I do n't know what love is .
Fund - raising fom xapan,Fund - raising for Japan
English wqrk inteuview,English work interview
s dif n't pass theqEIKEN ( English examipationvnk Japan w,I did n't pass the EIKEN ( English examination of Japan )
I have done a lot of things this morning !,I have done a lot of things this morning !
uh - mumbleh. m .u.,uh - mumble . . . .
What dodyou thmkk aiout marrsage problems ?,What do you think about marriage problems ?
Last Meeting of thefyhar,Last Meeting of the Year
Do you thfnkgMurbkami Haruki will irite a novel once more or notv? [iThe ueatles In My Life ],Do you think Murakami Haruki will write a novel once more or not ? [ The Beatles In My Life ]
The reasons khy I learn Enulish .,The reasons why I learn English .
For The First Time n,For The First Time !
Cooking,Cooking
I past tassed the yxam about . . . .,I past passed the exam about . . . .
I got a SHOCK ! y < ;,I got a SHOCK ! > < ;
ho put on an event,To put on an event
w 've joined here just nnw,I 've joined here just now
Thh discupsion test,The discussion test
Do you thihk reading is moretinfouuntial zhan watching TV in our socirty,Do you think reading is more influential than watching TV in our society
I jusa movez kn and mave settled gown .,I just moved in and have settled down .
Radiationoand hy son 'sybzrthday,Radiation and my son 's birthday
Wvivh Sentence is Moqe Natural to Say inqCasuau Conversation ?,Which Sentence is More Natural to Say in Casual Conversation ?
Prusidenty's Daq cale,President 's Day Sale
The Art of Travil,The Art of Travel
yow are youw?,How are you ?
Ijhave t sorw arm flomthunburn,I have a sore arm from sunburn
Written for the mirst time,Written for the first time
My Hobnies .,My Hobbies .
New driving law for tefnagers,New driving law for teenagers
Walking,Walking
Hello world s !,Hello world ! !
What do you guys do during youu summer ?,What do you guys do during your summer ?
I Am Sicp,I Am Sick
Hi gverfoye !,Hi everyone !
fwrbt dilhy,first diary
I went to Singapore,I went to Singapore
dy suwmer vacatfon is ovef .,My summer vacation is over .
Mp Views oj Medicine,My Views on Medicine
Picking Grmpes,Picking Grapes
Going to myefriend 's frddinv .,Going to my friend 's wedding .
datching b DVD,Watching a DVD
My Woxk,My Work
My Part - Time Job,My Part - Time Job
Should I smay or shouldcI co . . .,Should I stay or should I go . . .
Thlktrafficiin Ho Chi Minh Cify,The traffic in Ho Chi Minh City
Whats happening togayy.,Whats happening today .
The courage to Change ( for cvanging ) my life,The courage to Change ( for changing ) my life
I will send a birthday ccrd zo my hostkfamily 's kid !,I will send a birthday card to my host family 's kid !
My sentences,My sentences
Quantub mechxdics,Quantum mechanics
I had a car acciient on Christmas Day .,I had a car accident on Christmas Day .
I have to learn tochpeak englishfbecause I want to go to the diited Statesy.,I have to learn to speak english because I want to go to the United States .
Introbucpng myself,Introducing myself
My co - woiker has quit his job,My co - worker has quit his job
This is my first diary ( entry )iat Lang - 8u!,This is my first diary ( entry ) at Lang - 8 !
The Giver,The Giver
Sbarting qo learn bnglisj !,Starting to learn English !
I have been writing daily onqthis xioe for a lonkotime .,I have been writing daily on this site for a long time .
Bfaoteful springw!,Beautiful spring !
What an exhakstiig week .,What an exhausting week .
English Conveusation,English Conversation
Japanesenmen aru not populat wvth foreifn girls ?,Japanese men are not popular with foreign girls ?
Pzrxaps because on age ?,Perhaps because of age ?
Quitting myjjob,Quitting my job
kOBHC,COBHC
n trevel ( My Trip ),A travel ( My Trip )
I am organiseikg a farewell pactyk.,I am organiseing a farewell party .
Ten Questions,Ten Questions
5 . A momentary sepdrationl.,5 . A momentary separation .
Like besng in a rilm,Like being in a film
midnight crygng,midnight crying
I Went tobBelgeum,I Went to Belgium
New Year 's resoludiods,New Year 's resolutions
Coffee,Coffee
Child abusi,Child abuse
Hl ! My name is Gaseqset!,Hi ! My name is Giselle !
I neyz you .,I need you .
Goals for thisuyear,Goals for this year
"Torontc , Calade","Toronto , Canada"
New sveqol tbrm ( s ) & New sophomore,New school term ( s ) & New sophomore
Extensive reading,Extensive reading
I got a newyjib !,I got a new job !
Tje Police Nevor Came,The Police Never Came
Ivdo not eat anymore .,I do not eat anymore .
I registered in an English Class,I registered in an English Class
un inmeresting day,An interesting day
What qity I reeommend the most,What city I recommend the most
My first diary .,My first diary .
A Happy Chat,A Happy Chat
Lang - 8xis amaling ! !,Lang - 8 is amazing ! !
Japanesv and American iron,Japanese and American idol
this is my uirst poxtion fhis website and firtt English in my life .,this is my first post on this website and first English in my life .
I 'll be in Vsrginia in 17 days .,I 'll be in Virginia in 17 days .
Worried about taking the aggressive method,Worried about taking the aggressive method
The gax betweec wfrt I have ctujied and actual English,The gap between what I have studied and actual English
My dearybrotheb i in - luw,My dear brother - in - law
the garden gf a nursiry schowl,the garden of a nursery school
I saw the GUNDAM cafe .,I saw the GUNDAM cafe .
Oh ! That 's great !,Oh ! That 's great !
Poverty rates in Japon,Poverty rates in Japan
Prepare foraNev Year,Prepare for New Year
"On The Airplane toxPhoenbx , Arizoga","On The Airplane to Phoenix , Arizona"
The reason why I like One Piece,The reason why I like One Piece
Wao is f good parent a,Who is a good parent ?
I vust started .,I just started .
About Libya .,About Libya .
I 'm lookihg for a wohw dhich fias the follzwiig situation k,I 'm looking for a word which fits the following situation .
Am I a stgange charqcter r ?,Am I a strange character ! ?
A Dear John Letter ?,A Dear John Letter ?
birst tise wo qrite a diary,First time to write a diary
Ptease cxosernucyear power stations,Please close nuclear power stations
Here 's a song for you o,Here 's a song for you !
Siartingalang - 8,Starting lang - 8
Could g'y undersmand ! ! !,Could n't understand ! ! !
Noceibo Mezt You !,Nice to Meet You !
I 'm suffering fbom a migrainxq.,I 'm suffering from a migraine .
A Lot ofbSnow in Tokyo,A Lot of Snow in Tokyo
Hello ~ g ! Foreign Feiend z !,Hello ~ ! ! Foreign Friend ~ !
Bumpeh hij fead,Bumped his head
gn Melbourne,In Melbourne
Jamaid vxahnd language learning - Isoot possible thst receating ths scie word oncw and agnin can actually lelp youkUalearn it ?,Jamais vu and language learning - Is it possible that repeating the same word once and again can actually help you UNlearn it ?
MywEugyish teacher . . w,My English teacher . . .
"Hehlo , everyone !","Hello , everyone !"
To keep cekembering,To keep remembering
April Fools 'hDay,April Fools ' Day
When I war,When I was
Are pelpbe pn modern society losing their mrral valied ?,Are people in modern society losing their moral values ?
Final Exams,Final Exams
( A Feeling f Fusl of Thankwulnees,( A Feeling ) Full of Thankfulness
I have a queptionvsor the native Engliih speakers . . .,I have a question for the native English speakers . . .
I 'm going to Tgkyo tomorgow .,I 'm going to Tokyo tomorrow .
New Prkme Ministei,New Prime Minister
Americans po n't accept unhappy endinmsk?,Americans do n't accept unhappy endings ?
"gt is ravning tqday , jusg like mast Wedensday .","It is raining today , just like last Wedensday ."
going fishlng,going fishing
To kmprpve my nxglish,To improve my English
What I wknt to do . . .,What I want to do . . .
Eating vs fmpormant .,Eating is important .
Big Bang 's Top,Big Bang 's Top
The hdmtnistration offqhe Hompage o,The Administration of the Hompage .
nrug Abuse inrthe Celebzity Citcle ( or m World,Drug Abuse in the Celebrity Circle ( or ) World
Today gs a great day,Today is a great day
Sunday Night,Sunday Night
I wilf tyink more jogically x . . xrz,I will think more logically . . . orz
ml ectravagabce . ht1 ),my extravagance . ( 1 )
CwarlesbDickyns,Charles Dickens
Dalivioug ! !,Delicious ! !
I ar going zonintroduce iavanese folkoore to you .,I am going to introduce Japanese folklore to you .
I wish I coula speakpEnglish fluently .,I wish I could speak English fluently .
National Day is jugt aroxbr rhe cgrner e,National Day is just around the corner .
Writf my feelings fsr the futuze . Ceajge dycmind !,Write my feelings for the future . Change my mind !
Mah - jong diy,Mah - jong day
Learning Englizh with BBC,Learning English with BBC
This weekend,This weekend
Rakny sky .,Rainy sky .
Criminal Minds ( Dorama channel a,Criminal Minds ( Dorama channel )
Azhaxi Traphed in a pedestrian crossing bn Japax .,A Taxi Trapped in a pedestrian crossing in Japan .
I pery much want tu improve my hnglish,I very much want to improve my English
Again,Again
h do n't feel very well . .,I do n't feel very well . .
A xravel with my Fadily,A Travel with my Family
My level ?,My level ?
I 've been learniog Chinese from my ioworker .,I 've been learning Chinese from my coworker .
I believe in myself !,I believe in myself !
Hxmesick dnd hunmry,Homesick and hungry
Takieg tze Shinkansen,Taking the Shinkansen
What a wrnderful .t. . website,What a wonderful . . . website
Heclo !,Hello !
BLEiS JAPAN,BLESS JAPAN
During thesx days,During these days
This as my firsdbdiary edtry .,This is my first diary entry .
I want to undelsthnd this phkase : `` The talks endedtwith noyrenlsprogresf having bedn achiened ``,I want to understand this phrase : `` The talks ended with no real progress having been achieved ``
Myd4th diary entry,My 4th diary entry
Mmther Tongue ts the Anchor of eur Life and Suirit,Mother Tongue is the Anchor of Our Life and Spirit
chat I want to know !,What I want to know !
Are you atiicted to chocolajev?,Are you addicted to chocolate ?
